notification_id,alert_type,location_id,severity,message,timestamp
N0179,Security Notice,L0167,Low,Automated alert: Equipment Failure issued.,2026-02-10 13:40:41.256497
N0180,Berth Closure,L0062,Critical,Automated alert: Equipment Failure issued.,2026-02-11 09:07:58.256510
N0181,Weather Warning,L0298,Critical,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 14:22:05.256522
N0182,Equipment Failure,L0191,Low,Automated alert: Equipment Failure issued.,2026-02-10 22:17:59.256534
N0183,Security Notice,L0047,High,Automated alert: Hazardous Cargo Warning issued.,2026-02-11 05:24:36.256546
N0184,Weather Warning,L0183,Medium,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 18:43:37.256559
N0185,Weather Warning,L0065,Critical,Automated alert: Equipment Failure issued.,2026-02-10 10:43:07.256571
N0186,Berth Closure,L0404,High,Automated alert: Security Notice issued.,2026-02-09 04:23:37.256584
N0187,Equipment Failure,L0011,Critical,Automated alert: Congestion Alert issued.,2026-02-09 05:02:02.256597
N0188,Equipment Failure,L0129,Low,Automated alert: Security Notice issued.,2026-02-09 06:19:41.256610
N0189,Security Notice,L0287,High,Automated alert: Berth Closure issued.,2026-02-09 07:01:34.256622
N0190,Security Notice,L0098,Medium,Automated alert: Berth Closure issued.,2026-02-10 08:28:00.256634
N0191,Congestion Alert,L0375,Critical,Automated alert: Congestion Alert issued.,2026-02-09 14:11:18.256646
N0192,Berth Closure,L0083,Low,Automated alert: Berth Closure issued.,2026-02-10 22:29:40.256659
N0193,Security Notice,L0152,High,Automated alert: Berth Closure issued.,2026-02-10 07:03:02.256671
N0194,Security Notice,L0001,Critical,Automated alert: Hazardous Cargo Warning issued.,2026-02-10 20:16:22.256683
N0195,Weather Warning,L0318,High,Automated alert: Berth Closure issued.,2026-02-10 16:23:42.256696
N0196,Congestion Alert,L0370,Low,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 18:32:14.256708
N0197,Security Notice,L0098,Critical,Automated alert: Berth Closure issued.,2026-02-10 22:33:34.256720
N0198,Berth Closure,L0145,High,Automated alert: Security Notice issued.,2026-02-09 11:06:49.256733
N0199,Congestion Alert,L0057,Low,Automated alert: Berth Closure issued.,2026-02-09 09:48:14.256746
N0200,Weather Warning,L0023,Medium,Automated alert: Equipment Failure issued.,2026-02-11 07:30:20.256759
N0201,Equipment Failure,L0055,Critical,Automated alert: Equipment Failure issued.,2026-02-11 02:35:31.256772
N0202,Weather Warning,L0293,Critical,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 22:06:32.256786
N0203,Berth Closure,L0320,High,Automated alert: Weather Warning issued.,2026-02-10 07:06:21.256799
N0204,Equipment Failure,L0311,Low,Automated alert: Weather Warning issued.,2026-02-10 18:34:59.256812
N0205,Hazardous Cargo Warning,L0252,Low,Automated alert: Security Notice issued.,2026-02-09 11:15:30.256825
N0206,Weather Warning,L0185,Critical,Automated alert: Congestion Alert issued.,2026-02-09 06:11:47.256837
N0207,Weather Warning,L0422,High,Automated alert: Berth Closure issued.,2026-02-11 06:49:22.256850
N0208,Hazardous Cargo Warning,L0037,High,Automated alert: Weather Warning issued.,2026-02-10 18:03:42.256862
N0209,Berth Closure,L0050,Low,Automated alert: Hazardous Cargo Warning issued.,2026-02-10 16:57:39.256875
N0210,Berth Closure,L0198,Medium,Automated alert: Equipment Failure issued.,2026-02-09 19:28:00.256887
N0211,Hazardous Cargo Warning,L0128,Medium,Automated alert: Berth Closure issued.,2026-02-09 03:13:42.256899
N0212,Berth Closure,L0213,Low,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 15:47:56.256912
N0213,Congestion Alert,L0346,Critical,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 09:20:29.256924
N0214,Security Notice,L0453,Low,Automated alert: Equipment Failure issued.,2026-02-10 20:38:49.256936
N0215,Berth Closure,L0206,High,Automated alert: Hazardous Cargo Warning issued.,2026-02-10 22:15:53.256949
N0216,Berth Closure,L0308,Critical,Automated alert: Congestion Alert issued.,2026-02-10 10:50:03.256961
N0217,Berth Closure,L0167,High,Automated alert: Security Notice issued.,2026-02-09 11:40:18.256974
N0218,Security Notice,L0423,High,Automated alert: Berth Closure issued.,2026-02-10 16:15:15.256987
N0219,Berth Closure,L0280,Medium,Automated alert: Security Notice issued.,2026-02-09 17:42:57.256999
N0220,Hazardous Cargo Warning,L0131,High,Automated alert: Security Notice issued.,2026-02-10 01:11:49.257011
N0221,Security Notice,L0001,Low,Automated alert: Congestion Alert issued.,2026-02-09 14:24:03.257023
N0222,Weather Warning,L0266,Medium,Automated alert: Congestion Alert issued.,2026-02-11 09:18:17.257036
N0223,Congestion Alert,L0114,Medium,Automated alert: Congestion Alert issued.,2026-02-11 08:12:10.257048
N0224,Hazardous Cargo Warning,L0422,High,Automated alert: Berth Closure issued.,2026-02-09 20:33:12.257060
N0225,Berth Closure,L0293,Medium,Automated alert: Weather Warning issued.,2026-02-11 07:02:06.257073
N0226,Security Notice,L0183,Medium,Automated alert: Equipment Failure issued.,2026-02-10 14:29:13.257085
N0227,Congestion Alert,L0456,Medium,Automated alert: Equipment Failure issued.,2026-02-10 15:07:26.257097
N0228,Congestion Alert,L0048,Critical,Automated alert: Berth Closure issued.,2026-02-10 17:56:59.257109
N0229,Hazardous Cargo Warning,L0040,High,Automated alert: Security Notice issued.,2026-02-10 21:11:33.257122
N0230,Security Notice,L0423,Low,Automated alert: Berth Closure issued.,2026-02-09 11:00:55.257134
N0231,Congestion Alert,L0020,Critical,Automated alert: Weather Warning issued.,2026-02-11 05:42:39.257146
N0232,Congestion Alert,L0179,Critical,Automated alert: Security Notice issued.,2026-02-11 01:00:20.257158
N0233,Equipment Failure,L0383,Low,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 11:44:53.257171
N0234,Security Notice,L0028,High,Automated alert: Berth Closure issued.,2026-02-11 06:47:03.257183
N0235,Congestion Alert,L0277,Medium,Automated alert: Congestion Alert issued.,2026-02-09 21:11:57.257196
N0236,Hazardous Cargo Warning,L0114,Medium,Automated alert: Weather Warning issued.,2026-02-09 08:43:49.257208
N0237,Hazardous Cargo Warning,L0202,Critical,Automated alert: Berth Closure issued.,2026-02-09 15:53:39.257220
N0238,Berth Closure,L0047,Medium,Automated alert: Security Notice issued.,2026-02-10 12:40:54.257232
N0239,Security Notice,L0076,Medium,Automated alert: Congestion Alert issued.,2026-02-11 03:46:20.257244
N0240,Security Notice,L0293,Low,Automated alert: Berth Closure issued.,2026-02-10 04:42:53.257257
N0241,Congestion Alert,L0044,Critical,Automated alert: Berth Closure issued.,2026-02-10 02:08:39.257269
N0242,Hazardous Cargo Warning,L0067,Medium,Automated alert: Security Notice issued.,2026-02-09 17:03:22.257282
N0243,Equipment Failure,L0250,Critical,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 16:10:48.257294
N0244,Equipment Failure,L0288,Medium,Automated alert: Equipment Failure issued.,2026-02-11 04:33:57.257306
N0245,Congestion Alert,L0398,Critical,Automated alert: Congestion Alert issued.,2026-02-09 07:55:19.257318
N0246,Berth Closure,L0046,Low,Automated alert: Hazardous Cargo Warning issued.,2026-02-10 03:40:00.257331
N0247,Security Notice,L0188,High,Automated alert: Equipment Failure issued.,2026-02-10 10:25:39.257343
N0248,Congestion Alert,L0305,Low,Automated alert: Congestion Alert issued.,2026-02-10 21:27:29.257356
N0249,Congestion Alert,L0316,Critical,Automated alert: Berth Closure issued.,2026-02-10 23:09:53.257369
N0250,Security Notice,L0023,Medium,Automated alert: Equipment Failure issued.,2026-02-09 07:52:36.257381
N0251,Congestion Alert,L0080,Low,Automated alert: Weather Warning issued.,2026-02-09 03:55:42.257393
N0252,Weather Warning,L0125,Medium,Automated alert: Congestion Alert issued.,2026-02-11 08:46:58.257406
N0253,Congestion Alert,L0356,Low,Automated alert: Congestion Alert issued.,2026-02-10 01:00:38.257418
N0254,Security Notice,L0012,High,Automated alert: Equipment Failure issued.,2026-02-09 03:53:49.257431
N0255,Berth Closure,L0109,Medium,Automated alert: Berth Closure issued.,2026-02-09 19:40:47.257443
N0256,Congestion Alert,L0281,Critical,Automated alert: Berth Closure issued.,2026-02-09 04:37:53.257455
N0257,Equipment Failure,L0356,Low,Automated alert: Security Notice issued.,2026-02-09 15:19:47.257468
N0258,Hazardous Cargo Warning,L0270,Low,Automated alert: Congestion Alert issued.,2026-02-10 21:22:50.257480
N0259,Weather Warning,L0146,Medium,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 12:47:03.257492
N0260,Congestion Alert,L0028,Critical,Automated alert: Hazardous Cargo Warning issued.,2026-02-11 09:10:34.257505
N0261,Weather Warning,L0199,High,Automated alert: Hazardous Cargo Warning issued.,2026-02-09 09:42:57.257517
N0262,Congestion Alert,L0443,Low,Automated alert: Weather Warning issued.,2026-02-10 12:29:03.257529
N0263,Hazardous Cargo Warning,L0198,Medium,Automated alert: Security Notice issued.,2026-02-09 20:45:08.257542
N0264,Hazardous Cargo Warning,L0051,High,Automated alert: Security Notice issued.,2026-02-09 14:18:11.257554
N0265,Berth Closure,L0046,Medium,Automated alert: Equipment Failure issued.,2026-02-09 21:19:36.257567
